gene_short_name,FPKM
MIR1302-2HG,0
MIR1302-2,0
WASH7P,0
MIR6859-1,0
OR4G4P,0.0500827
DDX11L2,0.0633945
DDX11L1,0
FAM138A,0.0287446
-,0.0569976
OR4G11P,0.0751466
OR4F5,0.0481234
-,0.136811
-,0
-,0.918356
DDX11L17,0
WASH9P,0.0631905
MIR6859-2,0
-,0.179942
-,0
CICP27,0.169339
-,0.0204141
RNU6-1100P,0
-,0
-,0.309062
-,0
-,0
RPL23AP24,0.0833841
-,0
CICP7,0
-,1.13774
-,0
WBP1LP7,0
OR4F29,0
-,0
U6,0
KLHL17,0.644193
-,0.916454
TUBB8P11,0
FAM41C,0.335676
-,0
-,0.300622
-,0.120852
LINC02593,0.347719
HES4,2.10493
ISG15,0.0775366
-,0
-,0.0739258
RNF223,0.0834441
-,0.49809
-,0
-,0.0935598
LINC01342,0.145982
MIR200B,0
MIR200A,0
MIR429,0
-,0.358803
PLEKHN1,0.120993
PERM1,0.198178
TNFRSF18,0.160363
TTLL10-AS1,0.365501
TTLL10,0
TNFRSF4,0.038585
B3GALT6,1.0104
C1QTNF12,0.11638
-,0.124287
C1orf159,0.434225
-,0.119535
LINC01786,0.159247
SDF4,1.0858
SCNN1D,0.088663
CPTP,0.674224
UBE2J2,1.48352
TAS1R3,0.183327
DVL1,0.370881
MIR6808,0
SAMD11,0.429618
NOC2L,1.99385
NDUFB4P8,0.205343
AURKAIP1,1.95428
MXRA8,0.506821
MRPL20-DT,0.280221
ANKRD65,0.342748
ANKRD65-AS1,0
TMEM88B,0.14669
LINC01770,0.15601
MRPL20-AS1,0.475883
MRPL20,7.8097
RN7SL657P,0
ACAP3,1.9693
INTS11,2.01849
MIR6727,0
-,0
PUSL1,0
MIR6726,0
VWA1,0.308545
-,0
-,0
ATAD3C,0.127809
TMEM240,0.430257
ATAD3A,0.178074
SSU72,2.54431
-,0.642388
-,0.319747
-,0.119562
FNDC10,0.892077
ATAD3B,0.345153
-,0
-,0
-,0
LINC00115,0.666135
-,0
MTCO1P12,4.24183
MTCO2P12,0
CICP3,0
LINC01128,1.27901
MTND1P23,5.60044
MTND2P28,10.9574
MTATP8P1,0
MTATP6P1,201.076
MTCO3P12,0
WBP1LP6,0
OR4F16,0.0396288
-,0.0715572
-,0
RNU6-1199P,0
-,0
LINC01409,0.422096
-,0
FAM87B,0.527099
-,0
-,0
AGRN,1.47775
-,0
MMP23A,0
-,0.806909
MIB2,1.003
MMP23B,0
CDK11B,0.304983
CALML6,0.141585
TMEM52,0.1609
CCNL2,2.06786
-,0.198252
CDK11A,0
-,0.110841
-,0.547375
SLC35E2A,0
-,0.230136
-,0
PRKCZ-DT,0
-,0
SLC35E2B,0.752513
-,0.131905
-,0
NADK,1.50006
GABRD,0.969219
CFAP74,0.544978
SKI,0.873777
PRKCZ,0
-,0
-,0
PRKCZ-AS1,0
FAAP20,1.5388
HES5,0
-,0
PANK4,0.335232
-,0
-,0
-,0
-,0.287332
MORN1,0.555865
-,0.198498
-,0.473025
-,0
-,0.184076
GNB1,5.83346
GNB1-DT,0
-,0.134511
-,0.492711
-,0
-,0.243711
ACTRT2,0.1816
RER1,0.770047
PEX10,0.409121
TTC34,0.00665435
-,0
-,0
PRDM16-DT,0.530215
-,0.376501
ARHGEF16,0.668687
TNFRSF14-AS1,0
TNFRSF14,0.0219414
-,0.486171
TPRG1L,0.530518
SMIM1,0.181545
LRRC47,0.510208
-,0
RN7SL574P,0
PRXL2B,0
MMEL1,0.0102581
MMEL1-AS1,0
PLCH2,0.00535665
-,0
-,0
LINC01134,0.885252
LINC01346,0.690072
LINC01345,0.176662
LINC02780,0.199692
C1orf174,1.1284
-,0.222062
EEF1DP6,0
-,0.334987
-,0.477977
LINC01646,0.512197
LINC01777,0.46347
-,0
LINC02781,0.913974
LINC02782,0
-,0.258686
-,0.540171
-,0.213583
-,0.132824
-,6.7867
MEGF6,0.499932
MIR551A,0
-,0.301048
-,0
-,0.374993
MIR4689,0
PRDM16,0.310555
MIR4251,0
-,0
-,0.23412
-,0.29671
-,0.111193
-,0.40333
HES3,0.0468039
GPR153,1.72289
AJAP1,0.480469
-,0.215259
ACOT7,6.60818
-,0
HES2,0.851391
WRAP73,0.299702
TP73,0.23396
-,0
CCDC27,0.285856
GFOD3P,0.690556
GFOD3P,0
TP73-AS3,0.115141
TP73-AS2,0
CHD5,0.610671
-,0
RPL22,3.44596
RNF207-AS1,0
ICMT,1.37817
RNF207,0
ICMT-DT,0
ESPN,0.278825
-,0
TNFRSF25,0.326479
MIR4252,0
TAS1R1,0.419303
NOL9,0.438756
RNU6-731P,0
-,0.0758569
ZBTB48,0.484821
LINC01672,0.449553
-,0.177934
CAMTA1-DT,0.0814306
KLHL21,0.404832
PHF13,0.581734
VAMP3,0.805412
-,0.38627
PLEKHG5,0.987292
TNFRSF9,0.315869
-,0.44761
PARK7,1.93262
Y_RNA,0
CEP104,1.49612
DFFB,0.401385
ERRFI1-DT,0.428243
RPL7AP18,0.274485
-,0.141842
-,0.93841
LINC01714,0.0998352
RNU1-7P,0
NPHP4,0.829939
KCNAB2,1.07264
-,0.198483
RNU6-991P,0
SLC45A1,0.316426
Y_RNA,0
-,0
-,0
ERRFI1,1.70054
THAP3,1.37349
DNAJC11,1.35737
RNU6-304P,0
HMGN2P17,0.206892
-,0
-,0.20627
RN7SL451P,0.161178
SLC2A7,0.039657
CA6,0.411933
-,0.397534
SLC2A5,0.45235
-,0
GPR157,1.15
MIR34AHG,0.96885
MIR34A,0
LNCTAM34A,0
-,0.246001
ENO1,6.38563
ENO1-AS1,0
MIR6728,0
-,0.337417
LINC02606,0.484244
RNA5SP40,0
-,0.249156
SPSB1,0.690728
SLC25A33,0.243102
-,0.261239
TMEM201,1.00085
-,0.629102
H6PD,0.612265
PER3,0
-,0
UTS2,42.2889
RBP7,0.424033
CTNNBIP1,1.19628
-,0
-,0.297915
CAMTA1,1.40021
-,0.19666
CAMTA1-AS3,0.121825
RNU1-8P,0
CAMTA1-IT1,0.0959614
CAMTA1-AS2,0.729945
CAMTA1-AS1,0.224179
-,0.838868
-,0.0940868
-,0
-,0.319309
-,0.365673
PGD,1.6853
-,0.374266
CENPS-CORT,0
CENPS,0.50655
CORT,0.296935
LZIC,0.64876
-,0.0756385
NMNAT1,1.20774
-,0
RN7SKP269,1.20147
TMEM274P,0.0823409
MIR5697,0
DFFA,0.999416
-,0
PEX14,0.457951
-,0.193738
RN7SL614P,0
HSPE1P24,0
C1orf127,0.160866
CFL1P6,0.0568407
PIK3CD,0.751961
CLSTN1,2.07074
PIK3CD-AS1,0.388768
-,0.328745
PIK3CD-AS2,0.100827
MZT1P1,0
SRM,14.266
UBE4B,0.84693
RPL21P21,0.288291
PGAM1P11,0.213849
RNU6-828P,0
TARDBP,3.3277
MASP2,0
EXOSC10-AS1,0.58677
EXOSC10,0.877859
-,0.0283261
MTCYBP45,0.341246
UBIAD1,0.813207
UBE2V2P3,0.197741
LINC01647,0.342046
DISP3,0.777557
-,0
AGTRAP,0.474681
CASZ1,0.689835
-,0.13819
NPPB,3.0726
SBF1P2,0.18681
-,1.63467
RNU5E-1,0
RNU5E-4P,0
KIAA2013,0.829002
PLOD1,0.661836
-,0.839139
-,0.19402
FBXO2,1.02005
FBXO44,0.711241
MAD2L2,1.15126
FBXO6,0
DRAXIN,0.241541
-,0
MIIP,0.254277
Y_RNA,0
MIR6729,0
RN7SL649P,0
TNFRSF8,0.509997
RNU6-777P,0
RPL23AP89,0.503621
-,0.0817773
MIR7846,0
TNFRSF1B,0.20467
MIR4632,0
RPL10P17,0.138193
SNORA70,0
C1orf167,0
CLCN6,1.08926
-,0
-,0
-,0
C1orf167-AS1,0
MTHFR,0.565105
NPPA,0
LINC02766,0.173439
DHRS3,2.18647
-,0
RNU6ATAC18P,0
MIR6730,0
AADACL4,0.489493
-,0
AADACL3,0.427958
CFAP107,0.302783
RERE,1.55336
RERE-AS1,0.419182
-,0
-,0.991422
RPL7P11,0.211856
RPL7P7,0.125957
Y_RNA,0
-,0.460316
-,0.260186
RPL23AP19,0.556728
MFN2,2.49488
PRAMEF12,0.60819
LINC01784,0
PRAMEF30P,0
PRAMEF11,0
HNRNPCL1,0
PRAMEF1,0.437515
PRAMEF2,0
PRAMEF10,0
PRAMEF4,0
RNU6-1072P,0
PRAMEF29P,0
PRAMEF28P,0
PRAMEF6,0
PRAMEF27,0
PRAMEF7,0.0175428
PRAMEF34P,0
PRAMEF35P,0
HNRNPCL3,0
PRAMEF25,0
-,0
HNRNPCL2,0
PRAMEF36P,0
-,0
HNRNPCL4,0
PRAMEF9,0
PRAMEF26,0
PRAMEF18,0.0091245
PRAMEF31P,0
PRAMEF13,0.0174082
PRAMEF32P,0
RNU6-771P,0
PRAMEF5,0
