gene_short_name,FPKM
FAM138A,0
OR4G4P,0
-,0
OR4G11P,0
OR4F5,0
MIR1302-2HG,0
MIR1302-2,0
DDX11L2,0
DDX11L1,0
WASH7P,0.23053
MIR6859-1,0
-,0
-,4.82811
-,0.46912
DDX11L17,0
WASH9P,0.170291
MIR6859-2,0
-,0
-,0
CICP27,0.293246
-,2.0959
RNU6-1100P,0
-,0
-,0.0899224
-,0
-,0
RPL23AP24,0.372955
-,0
CICP7,0
-,5.72594
-,0
WBP1LP7,0
OR4F29,0
-,0.0598065
U6,0
KLHL17,1.6887
LINC02593,0.0604442
-,0.10896
TUBB8P11,0
FAM41C,0
-,0
-,0.234835
-,0.0850269
ISG15,0.119196
-,0
-,0
HES4,0.247858
RNF223,0
-,0.238216
-,0
-,0
LINC01342,0
MIR200B,0
MIR200A,0
MIR429,0
-,0
PLEKHN1,0.0509266
PERM1,0
TNFRSF18,0
TTLL10-AS1,0
TTLL10,0
TNFRSF4,0.0721127
B3GALT6,6.592
C1QTNF12,0
-,0.0154913
SDF4,11.5462
LINC01786,0
C1orf159,4.36451
-,1.17706
SCNN1D,0.127168
SAMD11,0
NOC2L,26.1311
CPTP,2.75177
UBE2J2,14.4338
MXRA8,1.0384
NDUFB4P8,0
AURKAIP1,43.887
TAS1R3,0
DVL1,7.98572
MIR6808,0
MRPL20-DT,1.57501
ANKRD65,0.297299
ANKRD65-AS1,0
TMEM88B,0.117025
LINC01770,0
VWA1,4.12268
ATAD3C,0
ACAP3,0
INTS11,75.2704
MIR6727,0
-,0
PUSL1,0
MIR6726,0
-,0
-,0
AGRN,7.87823
-,0
TMEM240,0.224143
MRPL20-AS1,0
MRPL20,190.732
RN7SL657P,0
-,0
FNDC10,7.72873
-,0.346597
ATAD3B,5.06528
SSU72,37.6042
-,0.422708
ATAD3A,1.80247
MMP23A,0
-,1.36616
MIB2,5.72837
MMP23B,0
CDK11B,7.1175
CDK11A,6.60997
-,0.876255
-,0
SLC35E2A,0
-,0
-,0
-,0
-,0
-,0
LINC00115,0
-,0
MTCO1P12,20.7444
MTCO2P12,20.3687
CICP3,0
LINC01128,0
MTND1P23,19.9541
MTND2P28,5.07432
MTATP8P1,0
MTATP6P1,634.652
MTCO3P12,0
WBP1LP6,0
OR4F16,0
-,1.39929
-,0
RNU6-1199P,0
-,0
LINC01409,0.670829
-,0
FAM87B,0.483405
-,0
-,0
-,0
SLC35E2B,10.6026
-,1.41473
-,0
CALML6,0
TMEM52,0.98972
-,0.0347229
PRKCZ-DT,0
CFAP74,0.0150055
CCNL2,14.1383
GABRD,0.246397
NADK,12.4275
SKI,23.423
PLCH2,0
-,0
-,0
HES5,0
-,0
PRKCZ,0
-,0
-,0
PRKCZ-AS1,0
FAAP20,19.2761
-,0
-,0
-,0
-,0
MORN1,1.35947
-,0
-,0.352973
-,0
-,0.0982925
PANK4,2.69358
-,0
-,0
-,0
-,0.175405
ACTRT2,0.135385
TNFRSF14-AS1,0
TNFRSF14,0
PRDM16-DT,0.126623
RER1,5.78356
PEX10,4.41861
-,0.152282
TTC34,0
-,0
-,0
-,0.0990528
ARHGEF16,2.54981
TPRG1L,3.85642
SMIM1,1.31616
LRRC47,7.87249
-,0
RN7SL574P,0
GNB1,38.0976
GNB1-DT,0
PRXL2B,0
MMEL1,0
MMEL1-AS1,0
LINC01134,0.32887
LINC01346,0
LINC01345,0
LINC02780,0
-,0
EEF1DP6,0
LINC01777,0
-,0
-,0
LINC01646,0
MEGF6,1.0814
MIR551A,0
-,0
LINC02781,0.0475527
LINC02782,0
-,0
-,0
-,0
-,0
-,0
-,0
-,0
-,0
MIR4689,0
C1orf174,10.3876
PRDM16,0.211975
MIR4251,0
-,0
-,0.0349642
-,0.0808992
-,0
-,0
HES3,17.7089
GPR153,4.94682
ACOT7,40.7656
-,0
HES2,0.0505522
AJAP1,3.06717
-,0.082884
ESPN,1.1928
-,0
TNFRSF25,0.893645
MIR4252,0
WRAP73,7.28981
TP73,0
-,0
CCDC27,0
GFOD3P,5.65436
GFOD3P,0
TP73-AS3,0
TP73-AS2,0
TAS1R1,0
ZBTB48,4.18347
CHD5,0
-,0
RPL22,70.2338
RNF207-AS1,0
ICMT,28.1521
RNF207,0
ICMT-DT,0
NOL9,7.21469
RNU6-731P,0
-,0.149546
LINC01672,0
-,0
CAMTA1-DT,0
PLEKHG5,3.07496
VAMP3,6.81413
-,0.158811
KLHL21,3.96076
PHF13,9.05998
NPHP4,5.41811
KCNAB2,0
TNFRSF9,0.207291
-,0
PARK7,18.0304
Y_RNA,0
ERRFI1-DT,0.0221576
RPL7AP18,0
-,0
-,0
LINC01714,0
RNU1-7P,0
-,0
RNU6-991P,0
SLC45A1,0.222785
Y_RNA,0
-,0
-,0
ERRFI1,11.8312
CEP104,4.26544
DFFB,0
THAP3,0
DNAJC11,51.6373
RNU6-304P,0
-,0
HMGN2P17,0
-,0
RN7SL451P,0
CA6,0
-,0.0740606
SLC2A7,0
SLC2A5,0.010203
-,0
GPR157,0.376628
MIR34AHG,2.61907
MIR34A,0
LNCTAM34A,0
-,3.4725
SPSB1,0.937686
-,0
LINC02606,0.0550506
RNA5SP40,0
-,0
SLC25A33,0.560255
-,0.0975874
ENO1,223.689
ENO1-AS1,0
MIR6728,0
PER3,0.361867
-,0
UTS2,0
-,0.250175
TMEM201,9.14582
CAMTA1,22.2201
-,2.24032
CAMTA1-AS3,0
RNU1-8P,0
CAMTA1-IT1,0
CAMTA1-AS2,0.451025
CAMTA1-AS1,0
-,0
-,0.106272
-,0
RBP7,0.225484
H6PD,0.792826
CTNNBIP1,6.54989
-,0
-,0.162374
-,0.135196
-,0.370951
PGD,19.5056
LZIC,3.57505
-,0
NMNAT1,0.159948
-,0
RN7SKP269,0.310633
TMEM274P,0
MIR5697,0
-,0
CENPS-CORT,0
CENPS,4.49998
CORT,0
DFFA,13.9999
-,0
PEX14,0
-,0.458496
RN7SL614P,0
HSPE1P24,0
C1orf127,0
CFL1P6,0
UBE4B,4.60687
RPL21P21,0
PGAM1P11,0.423688
RNU6-828P,0
SRM,313.143
PIK3CD,0
CLSTN1,20.8195
